position,title,year,duration,rating,votes
1,Um Sonho de Liberdade,1994,2h 22m,9.3,3M
2,O Poderoso Chefão,1972,2h 55m,9.2,2.1M
3,Batman: O Cavaleiro das Trevas,2008,2h 32m,9.0,3M
4,O Poderoso Chefão: Parte II,1974,3h 22m,9.0,1.4M
5,12 Homens e uma Sentença,1957,1h 36m,9.0,915K
6,O Senhor dos Anéis: O Retorno do Rei,2003,3h 21m,9.0,2.1M
7,A Lista de Schindler,1993,3h 15m,9.0,1.5M
8,Pulp Fiction: Tempo de Violência,1994,2h 34m,8.9,2.3M
9,O Senhor dos Anéis: A Sociedade do Anel,2001,2h 58m,8.9,2.1M
10,Três Homens em Conflito,1966,2h 41m,8.8,846K
11,Forrest Gump: O Contador de Histórias,1994,2h 22m,8.8,2.4M
12,O Senhor dos Anéis: As Duas Torres,2002,2h 59m,8.8,1.9M
13,Clube da Luta,1999,2h 19m,8.8,2.4M
14,A Origem,2010,2h 28m,8.8,2.7M
15,Star Wars: Episódio V - O Império Contra-Ataca,1980,2h 4m,8.7,1.4M
16,Matrix,1999,2h 16m,8.7,2.1M
17,Os Bons Companheiros,1990,2h 25m,8.7,1.3M
18,Um Estranho no Ninho,1975,2h 13m,8.7,1.1M
19,Interestelar,2014,2h 49m,8.7,2.3M
20,Seven - Os Sete Crimes Capitais,1995,2h 7m,8.6,1.9M
21,A Felicidade Não se Compra,1946,2h 10m,8.6,524K
22,Os Sete Samurais,1954,3h 27m,8.6,381K
23,O Silêncio dos Inocentes,1991,1h 58m,8.6,1.6M
24,O Resgate do Soldado Ryan,1998,2h 49m,8.6,1.6M
25,Cidade de Deus,2002,2h 10m,8.6,832K
